,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District
3575,0,127,4,3,2,2,No,No,No,No,Ipiranga
9282,1630,216,3,2,1,2,Yes,No,No,No,Santa Cecília
9229,415,65,2,2,1,1,Yes,No,Yes,No,Pari
10970,700,39,1,2,1,1,No,No,Yes,No,Pinheiros
1394,480,65,2,2,1,1,Yes,No,Yes,No,Saúde
1030,757,61,2,2,1,1,No,No,No,No,Cursino
1857,300,45,2,2,1,1,No,Yes,No,No,Lapa
1512,5000,290,4,6,4,4,Yes,No,Yes,No,Vila Mariana
4450,435,65,2,1,0,1,Yes,No,No,No,Jaguaré
9701,390,56,2,2,1,1,Yes,No,No,No,Penha
1543,1050,113,3,3,1,1,No,No,No,No,Vila Mariana
3801,1150,110,4,2,1,2,No,No,Yes,No,Moema
876,420,51,2,2,1,1,Yes,No,Yes,No,Campo Limpo
2597,330,33,1,1,0,1,No,No,No,No,Sé
2297,371,50,2,1,0,1,No,No,No,No,Brás
10619,1000,110,3,2,1,1,No,Yes,No,No,Itaim Bibi
4081,650,73,3,1,0,1,No,No,No,No,Socorro
884,615,74,3,2,1,1,No,No,Yes,No,Campo Limpo
490,473,65,3,2,1,1,No,No,Yes,No,São Mateus
9247,400,75,1,2,1,1,Yes,No,No,No,República
10515,551,35,1,2,1,1,No,Yes,Yes,No,Campo Belo
339,300,59,3,2,1,1,No,No,Yes,No,Lajeado
822,600,48,1,2,1,1,Yes,Yes,Yes,No,Campo Belo
492,470,60,3,2,1,1,No,No,No,No,São Mateus
665,800,40,3,2,1,2,Yes,No,No,No,Vila Matilde
10602,700,74,2,1,0,1,No,No,No,No,Ipiranga
10669,8800,640,4,5,4,5,No,Yes,Yes,No,Moema
327,260,58,3,2,1,1,No,No,No,No,José Bonifácio
10155,596,78,3,2,1,2,No,No,Yes,No,Limão
139,490,92,3,2,1,1,Yes,Yes,No,No,Cidade Líder
9305,1000,80,3,2,1,1,No,No,No,No,Casa Verde
2622,456,49,1,1,0,1,No,No,Yes,No,Casa Verde
3666,700,42,1,1,0,1,No,No,No,No,Jabaquara
250,350,57,2,2,1,1,No,No,No,No,Itaquera
4438,692,78,2,2,1,1,No,No,Yes,No,Jaguaré
2821,275,46,2,1,0,1,No,No,No,No,Tucuruvi
3720,1131,100,2,1,0,1,No,No,No,No,Jardim Paulista
3546,0,84,2,2,1,1,No,No,Yes,No,Ipiranga
4020,2000,266,4,5,4,4,No,Yes,Yes,No,Santo Amaro
2390,1200,159,3,4,3,2,No,Yes,Yes,No,Consolação
4888,590,68,3,2,1,1,Yes,No,Yes,No,Vila Leopoldina
4007,2115,205,4,4,3,4,No,No,Yes,No,Santo Amaro
1000,730,76,3,2,1,1,No,No,Yes,No,Cursino
2628,400,42,1,1,0,1,No,No,No,No,Casa Verde
4537,683,65,2,1,0,1,No,No,No,No,Lapa
2837,400,60,2,1,0,1,Yes,No,No,No,Vila Guilherme
10466,600,82,3,2,1,2,Yes,Yes,Yes,No,Tatuapé
3360,738,80,2,2,1,2,No,Yes,No,No,Cambuci
2583,2600,144,3,2,1,1,No,Yes,No,No,Santa Cecília
9904,2284,162,3,5,3,3,Yes,Yes,Yes,No,Itaim Bibi
